mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
47	47	138	138	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	718										
47	47	277/2	277/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	719										
47	47	1115/8	1115/8	0.125		11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	720										
47	47	279/2	279/2	0.0		3/8	3/8	Spanner	6/8	1	1	0														0
47	47	279/2	279/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	721									89	0
47	47	140	140	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	722										0
47	47	1127/8	1127/8	0.125		23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	723										0
47	47	138	138	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	724										
47	47	829/6	829/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	725										
47	47	415/3	415/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	726										
47	47	277/2	277/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	727										
47	47	416/3	416/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	728										
47	47	833/6	833/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	729										
47	47	139	139	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	730										
47	47	835/6	835/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	731										
47	47	418/3	418/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	732										
47	47	279/2	279/2	0.16666666666666666		3/8	3/8	Chord	6/8	2	1	1/24		1/16	2/3	733										
47	47	419/3	419/3	0.16666666666666666		5/12	5/12	Chord	6/8	2	1	1/24		1/16	2/3	734										
47	47	839/6	839/6	0.16666666666666666		11/24	11/24	Chord	6/8	2	1	1/24		1/16	2/3	735										
47	47	140	140	0.16666666666666666		1/2	1/2	Chord	6/8	2	1	1/24		1/16	2/3	736										
47	47	841/6	841/6	0.16666666666666666		13/24	13/24	Chord	6/8	2	1	1/24		1/16	2/3	737										
47	47	421/3	421/3	0.16666666666666666		7/12	7/12	Chord	6/8	2	1	1/24		1/16	2/3	738										
47	47	281/2	281/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	739										
47	47	422/3	422/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	740										
47	47	845/6	845/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	741										
48	48	141	141	0.0		0	0	Dynamic	6/8	1	1	0					f									
48	48	141	141	0.0		0	0	Spanner	6/8	1	1	0														
48	48	141	141	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	742									90	
48	48	283/2	283/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	743										
48	48	142	142	0.5		1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	744										
48	48	285/2	285/2	0.0		3/8	3/8	Dynamic	6/8	1	1	0					p									
48	48	285/2	285/2	1.0		3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	745									91	
48	48	287/2	287/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	746										
48	48	141	141	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	747										
48	48	847/6	847/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	748										
48	48	424/3	424/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	749										
48	48	283/2	283/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	750										
48	48	425/3	425/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	751										
48	48	851/6	851/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	752										
48	48	142	142	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	753										
48	48	853/6	853/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	754										
48	48	427/3	427/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	755										
48	48	285/2	285/2	1.5		3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	756										
49	49	144	144	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	757										
49	49	289/2	289/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	758										
49	49	145	145	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	759									92	
49	49	581/4	581/4	0.125		5/16	5/16	Chord	6/8	1	1	1/32		1/32	1	760									92	
49	49	1163/8	1163/8	0.125		11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	761										
49	49	291/2	291/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	762										
49	49	293/2	293/2	0.125		5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	763									93	
49	49	1173/8	1173/8	0.125		21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	764									93	
49	49	587/4	587/4	0.125		11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	765									93	
49	49	1175/8	1175/8	0.125		23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	766									93	
49	49	144	144	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	767									94	
49	49	865/6	865/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	768									94	
49	49	433/3	433/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	769									94	
49	49	289/2	289/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	770									94	
49	49	434/3	434/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	771									94	
49	49	869/6	869/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	772									94	
49	49	145	145	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	773									94	
49	49	871/6	871/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	774									94	
49	49	436/3	436/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	775									94	
49	49	291/2	291/2	0.16666666666666666		3/8	3/8	Chord	6/8	2	1	1/24		1/16	2/3	776									94	
49	49	437/3	437/3	0.16666666666666666		5/12	5/12	Chord	6/8	2	1	1/24		1/16	2/3	777									94	
49	49	875/6	875/6	0.16666666666666666		11/24	11/24	Chord	6/8	2	1	1/24		1/16	2/3	778									94	
49	49	146	146	0.16666666666666666		1/2	1/2	Chord	6/8	2	1	1/24		1/16	2/3	779									94	
49	49	877/6	877/6	0.16666666666666666		13/24	13/24	Chord	6/8	2	1	1/24		1/16	2/3	780									94	
49	49	439/3	439/3	0.16666666666666666		7/12	7/12	Chord	6/8	2	1	1/24		1/16	2/3	781									94	
49	49	293/2	293/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	782									94	
49	49	440/3	440/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	783									94	
49	49	881/6	881/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	784										
50	50	147	147	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	785										
50	50	295/2	295/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	786										
50	50	148	148	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	787									95	
50	50	593/4	593/4	0.125		5/16	5/16	Chord	6/8	1	1	1/32		1/32	1	788									95	
50	50	1187/8	1187/8	0.125		11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	789										
50	50	297/2	297/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	790										
50	50	299/2	299/2	0.125		5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	791									96	
50	50	1197/8	1197/8	0.125		21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	792									96	
50	50	599/4	599/4	0.125		11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	793									96	
50	50	1199/8	1199/8	0.125		23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	794									96	
50	50	147	147	0.0		0	0	StaffText	6/8	2	1	0							simile							
50	50	147	147	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	795										
50	50	883/6	883/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	796										
50	50	442/3	442/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	797										
50	50	295/2	295/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	798										
50	50	443/3	443/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	799										
50	50	887/6	887/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	800										
50	50	148	148	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	801										
50	50	889/6	889/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	802										
50	50	445/3	445/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	803										
50	50	297/2	297/2	0.16666666666666666		3/8	3/8	Chord	6/8	2	1	1/24		1/16	2/3	804										
50	50	446/3	446/3	0.16666666666666666		5/12	5/12	Chord	6/8	2	1	1/24		1/16	2/3	805										
50	50	893/6	893/6	0.16666666666666666		11/24	11/24	Chord	6/8	2	1	1/24		1/16	2/3	806										
50	50	149	149	0.16666666666666666		1/2	1/2	Chord	6/8	2	1	1/24		1/16	2/3	807										
50	50	895/6	895/6	0.16666666666666666		13/24	13/24	Chord	6/8	2	1	1/24		1/16	2/3	808										
50	50	448/3	448/3	0.16666666666666666		7/12	7/12	Chord	6/8	2	1	1/24		1/16	2/3	809										
50	50	299/2	299/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	810										
50	50	449/3	449/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	811										
50	50	899/6	899/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	812										
51	51	150	150	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	813										
51	51	301/2	301/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	814										
51	51	151	151	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	815									97	
51	51	605/4	605/4	0.125		5/16	5/16	Chord	6/8	1	1	1/32		1/32	1	816									97	
51	51	1211/8	1211/8	0.125		11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	817									97	
51	51	303/2	303/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	818										
51	51	152	152	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	819										
51	51	305/2	305/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	820									98	
51	51	611/4	611/4	0.125		11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	821									98	
51	51	1223/8	1223/8	0.125		23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	822									98	
51	51	150	150	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	823										
51	51	901/6	901/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	824										
51	51	451/3	451/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	825										
51	51	301/2	301/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	826										
51	51	452/3	452/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	827										
51	51	905/6	905/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	828										
51	51	151	151	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	829										
51	51	907/6	907/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	830										
51	51	454/3	454/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	831										
51	51	303/2	303/2	0.16666666666666666		3/8	3/8	Chord	6/8	2	1	1/24		1/16	2/3	832										
51	51	455/3	455/3	0.16666666666666666		5/12	5/12	Chord	6/8	2	1	1/24		1/16	2/3	833										
51	51	911/6	911/6	0.16666666666666666		11/24	11/24	Chord	6/8	2	1	1/24		1/16	2/3	834										
51	51	152	152	0.16666666666666666		1/2	1/2	Chord	6/8	2	1	1/24		1/16	2/3	835										
51	51	913/6	913/6	0.16666666666666666		13/24	13/24	Chord	6/8	2	1	1/24		1/16	2/3	836										
51	51	457/3	457/3	0.16666666666666666		7/12	7/12	Chord	6/8	2	1	1/24		1/16	2/3	837										
51	51	305/2	305/2	0.16666666666666666		5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	838										
51	51	458/3	458/3	0.16666666666666666		2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	839										
51	51	917/6	917/6	0.16666666666666666		17/24	17/24	Chord	6/8	2	1	1/24		1/16	2/3	840										
52	52	153	153	0.5		0	0	Chord	6/8	1	1	1/8		1/8	1	841										
52	52	307/2	307/2	0.5		1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	842										
52	52	154	154	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	843									99	
52	52	617/4	617/4	0.125		5/16	5/16	Chord	6/8	1	1	1/32		1/32	1	844									99	
52	52	1235/8	1235/8	0.125		11/32	11/32	Chord	6/8	1	1	1/32		1/32	1	845										
52	52	309/2	309/2	0.5		3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	846									100	
52	52	155	155	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	847									100	
52	52	311/2	311/2	0.5		5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	848										
52	52	309/2	309/2	1.0		3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	849									101	
52	52	311/2	311/2	0.5		5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	850										
52	52	153	153	0.16666666666666666		0	0	Chord	6/8	2	1	1/24		1/16	2/3	851										
52	52	919/6	919/6	0.16666666666666666		1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	852										
52	52	460/3	460/3	0.16666666666666666		1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	853										
52	52	307/2	307/2	0.16666666666666666		1/8	1/8	Chord	6/8	2	1	1/24		1/16	2/3	854										
52	52	461/3	461/3	0.16666666666666666		1/6	1/6	Chord	6/8	2	1	1/24		1/16	2/3	855										
52	52	923/6	923/6	0.16666666666666666		5/24	5/24	Chord	6/8	2	1	1/24		1/16	2/3	856										
52	52	154	154	0.16666666666666666		1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	857										
52	52	925/6	925/6	0.16666666666666666		7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	858										
52	52	463/3	463/3	0.16666666666666666		1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	859										
52	52	309/2	309/2	1.0		3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	860									102	
52	52	311/2	311/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	861										
52	52	309/2	309/2	1.5		3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	862										
53	53	156	156	0.0		0	0	Dynamic	6/8	1	1	0					f									
53	53	156	156	0.16666666666666666		0	0	Chord	6/8	1	1	1/24		1/16	2/3	863									103	
53	53	937/6	937/6	0.16666666666666666		1/24	1/24	Chord	6/8	1	1	1/24		1/16	2/3	864									103	
53	53	469/3	469/3	0.16666666666666666		1/12	1/12	Chord	6/8	1	1	1/24		1/16	2/3	865									103	
53	53	313/2	313/2	0.16666666666666666		1/8	1/8	Chord	6/8	1	1	1/24		1/16	2/3	866									103	
53	53	470/3	470/3	0.16666666666666666		1/6	1/6	Chord	6/8	1	1	1/24		1/16	2/3	867									103	
53	53	941/6	941/6	0.16666666666666666		5/24	5/24	Chord	6/8	1	1	1/24		1/16	2/3	868									103	
53	53	157	157	0.16666666666666666		1/4	1/4	Chord	6/8	1	1	1/24		1/16	2/3	869									103	
53	53	943/6	943/6	0.16666666666666666		7/24	7/24	Chord	6/8	1	1	1/24		1/16	2/3	870									103	
53	53	472/3	472/3	0.16666666666666666		1/3	1/3	Chord	6/8	1	1	1/24		1/16	2/3	871										
53	53	315/2	315/2	0.0		3/8	3/8	StaffText	6/8	1	1	0							simile							
53	53	315/2	315/2	0.16666666666666666		3/8	3/8	Chord	6/8	1	1	1/24		1/16	2/3	872										
53	53	473/3	473/3	0.16666666666666666		5/12	5/12	Chord	6/8	1	1	1/24		1/16	2/3	873										
53	53	947/6	947/6	0.16666666666666666		11/24	11/24	Chord	6/8	1	1	1/24		1/16	2/3	874										
53	53	158	158	0.16666666666666666		1/2	1/2	Chord	6/8	1	1	1/24		1/16	2/3	875										
53	53	949/6	949/6	0.16666666666666666		13/24	13/24	Chord	6/8	1	1	1/24		1/16	2/3	876										
53	53	475/3	475/3	0.16666666666666666		7/12	7/12	Chord	6/8	1	1	1/24		1/16	2/3	877										
53	53	317/2	317/2	0.16666666666666666		5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	878										
53	53	476/3	476/3	0.16666666666666666		2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	879										
53	53	953/6	953/6	0.16666666666666666		17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	880										
53	53	156	156	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	881										
53	53	313/2	313/2	0.0		1/8	1/8	Chord	6/8	2	1	0	grace16	1/16	1	882										
53	53	313/2	313/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	883										
53	53	157	157	0.0		1/4	1/4	Chord	6/8	2	1	0	grace16	1/16	1	884										
53	53	157	157	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	885										
53	53	315/2	315/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	886										
53	53	158	158	0.0		1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	887										
53	53	158	158	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	888										
53	53	317/2	317/2	0.0		5/8	5/8	Chord	6/8	2	1	0	grace16	1/16	1	889										
53	53	317/2	317/2	0.5		5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	890										
54	54	159	159	0.16666666666666666		0	0	Chord	6/8	1	1	1/24		1/16	2/3	891										
54	54	955/6	955/6	0.16666666666666666		1/24	1/24	Chord	6/8	1	1	1/24		1/16	2/3	892										
54	54	478/3	478/3	0.16666666666666666		1/12	1/12	Chord	6/8	1	1	1/24		1/16	2/3	893										
54	54	319/2	319/2	0.16666666666666666		1/8	1/8	Chord	6/8	1	1	1/24		1/16	2/3	894										
54	54	479/3	479/3	0.16666666666666666		1/6	1/6	Chord	6/8	1	1	1/24		1/16	2/3	895										
54	54	959/6	959/6	0.16666666666666666		5/24	5/24	Chord	6/8	1	1	1/24		1/16	2/3	896										
54	54	160	160	0.16666666666666666		1/4	1/4	Chord	6/8	1	1	1/24		1/16	2/3	897										
54	54	961/6	961/6	0.16666666666666666		7/24	7/24	Chord	6/8	1	1	1/24		1/16	2/3	898										
54	54	481/3	481/3	0.16666666666666666		1/3	1/3	Chord	6/8	1	1	1/24		1/16	2/3	899										
54	54	321/2	321/2	0.16666666666666666		3/8	3/8	Chord	6/8	1	1	1/24		1/16	2/3	900										
54	54	482/3	482/3	0.16666666666666666		5/12	5/12	Chord	6/8	1	1	1/24		1/16	2/3	901										
54	54	965/6	965/6	0.16666666666666666		11/24	11/24	Chord	6/8	1	1	1/24		1/16	2/3	902										
54	54	161	161	0.5		1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	903										
54	54	159	159	0.5		0	0	Chord	6/8	2	1	1/8		1/8	1	904										
54	54	319/2	319/2	0.0		1/8	1/8	Chord	6/8	2	1	0	grace16	1/16	1	905										
54	54	319/2	319/2	0.5		1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	906										
54	54	160	160	0.0		1/4	1/4	Chord	6/8	2	1	0	grace16	1/16	1	907										
54	54	160	160	0.5		1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	908										
54	54	321/2	321/2	0.5		3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	909										
54	54	161	161	0.0		1/2	1/2	Chord	6/8	2	1	0	grace16	1/16	1	910										
54	54	161	161	0.5		1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	911										
55	55	162	162	0.0		0	0	Dynamic	6/8	1	1	0					p									
55	55	162	162	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	912									104	
55	55	649/4	649/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	913									104	
55	55	325/2	325/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	914									104	
55	55	651/4	651/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	915									104	
55	55	163	163	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	916									104	
55	55	653/4	653/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	917									104	
55	55	327/2	327/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	918									104	
55	55	655/4	655/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	919									104	
55	55	164	164	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	920									104	
55	55	657/4	657/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	921									104	
55	55	329/2	329/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	922									104	
55	55	659/4	659/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	923										
55	55	162	162	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	924									105	
55	55	649/4	649/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	925									105	
55	55	325/2	325/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	926									105	
55	55	651/4	651/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	927									105	
55	55	163	163	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	928									105	
55	55	653/4	653/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	929									105	
55	55	327/2	327/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	930									105	
55	55	655/4	655/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	931									105	
55	55	164	164	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	932									105	
55	55	657/4	657/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	933									105	
55	55	329/2	329/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	934									105	
55	55	659/4	659/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	935										
56	56	165	165	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	936									106	
56	56	661/4	661/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	937									106	
56	56	331/2	331/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	938									106	
56	56	663/4	663/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	939									106	
56	56	166	166	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	940									106	
56	56	665/4	665/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	941									106	
56	56	333/2	333/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	942									106	
56	56	667/4	667/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	943									106	
56	56	167	167	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	944									106	
56	56	669/4	669/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	945									106	
56	56	335/2	335/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	946									106	
56	56	671/4	671/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	947										
56	56	165	165	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	948									107	
56	56	661/4	661/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	949									107	
56	56	331/2	331/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	950									107	
56	56	663/4	663/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	951									107	
56	56	166	166	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	952									107	
56	56	665/4	665/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	953									107	
56	56	333/2	333/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	954									107	
56	56	667/4	667/4	0.25		7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	955									107	
56	56	167	167	0.25		1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	956									107	
56	56	669/4	669/4	0.25		9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	957									107	
56	56	335/2	335/2	0.25		5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	958									107	
56	56	671/4	671/4	0.25		11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	959										
57	57	168	168	0.25		0	0	Chord	6/8	1	1	1/16		1/16	1	960									108	
57	57	673/4	673/4	0.25		1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	961									108	
57	57	337/2	337/2	0.25		1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	962									108	
57	57	675/4	675/4	0.25		3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	963									108	
57	57	169	169	0.25		1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	964									108	
57	57	677/4	677/4	0.25		5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	965									108	
57	57	339/2	339/2	0.25		3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	966									108	
57	57	679/4	679/4	0.25		7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	967									108	
57	57	170	170	0.25		1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	968									108	
57	57	681/4	681/4	0.25		9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	969									108	
57	57	341/2	341/2	0.25		5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	970									108	
57	57	683/4	683/4	0.25		11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	971										
57	57	168	168	0.25		0	0	Chord	6/8	2	1	1/16		1/16	1	972									109	
57	57	673/4	673/4	0.25		1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	973									109	
57	57	337/2	337/2	0.25		1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	974									109	
57	57	675/4	675/4	0.25		3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	975									109	
57	57	169	169	0.25		1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	976									109	
57	57	677/4	677/4	0.25		5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	977									109	
57	57	339/2	339/2	0.25		3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	978									109	
