mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	268												
16	16	60	60	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	269												
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	270												
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	271												
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	272												
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	273												
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	274												
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	275												
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	276												
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	277												
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	278												
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	279												
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	280												
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	281												
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	282		articStaccatoAbove										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	283		articStaccatoAbove										
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	284		articStaccatoAbove										
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	285		articStaccatoAbove										
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	286		articStaccatoAbove										
17	17	64	64	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	287												
17	17	64	64	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	288												
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	289												
17	17	129/2	129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	290												
17	17	259/4	259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	291												
17	17	65	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	292												
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	293												
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	294												
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	295												
17	17	66	66	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	296												
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	297												
17	17	133/2	133/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	298												
17	17	267/4	267/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	299												
17	17	67	67	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	300												
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	301												
17	17	135/2	135/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	302												
17	17	271/4	271/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	303												
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	304		articStaccatoAbove										
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	305		articStaccatoAbove										
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	306		articStaccatoAbove										
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	307		articStaccatoAbove										
18	18	70	70	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	308												
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	309												
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	310												
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	311												
18	18	71	71	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	312												
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	313												
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	314												
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	315												
18	18	68	68	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	316												
18	18	273/4	273/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	317												
18	18	137/2	137/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	318												
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	319												
18	18	69	69	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	320												
18	18	277/4	277/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	321												
18	18	139/2	139/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	322												
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	323												
18	18	70	70	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	324												
18	18	281/4	281/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	325												
18	18	141/2	141/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	326												
18	18	283/4	283/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	327												
18	18	71	71	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	328												
18	18	285/4	285/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	329												
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	330												
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	331												
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	332												
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	333		articStaccatoAbove										
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	334		articStaccatoAbove										
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	335		articStaccatoAbove										
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	336		articStaccatoAbove										
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	337		articStaccatoAbove										
19	19	72	72	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	338												
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	339												
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	340												
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	341												
19	19	73	73	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	342												
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	343												
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	344												
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	345												
19	19	74	74	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	346												
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	347												
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	348												
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	349												
19	19	75	75	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	350												
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	351												
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	352												
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	353												
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	354		articStaccatoAbove										
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	355		articStaccatoAbove										
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	356		articStaccatoAbove										
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	357		articStaccatoAbove										
20	20	78	78	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	358												
20	20	78	78	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	359												
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	360												
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	361												
20	20	79	79	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	362												
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	363												
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	364												
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	365												
20	20	76	76	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	366												
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	367												
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	368												
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	369												
20	20	77	77	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	370												
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	371												
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	372												
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	373												
20	20	78	78	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	374												
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	375												
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	376												
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	377												
20	20	79	79	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	378												
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	379												
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	380												
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	381												
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	382												
21	21	81	81	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	383										18		
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	384										18		
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	385										18		
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	386												
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	387												
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	388												
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	389												
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	390												
22	22	84	84	0.0	0	0	Dynamic	4/4	1	1	0					p											
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	391												
22	22	85	85	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	392										19		
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	393										19		
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	394										19		
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	395										19		
22	22	87	87	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	396										19		
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	397												
23	23	88	88	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	398		ornamentTrill								20		
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	399												
23	23	89	89	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	400												
23	23	181/2	181/2	0.0	5/8	5/8	Chord	4/4	1	1	0	grace16	1/16	1	401												
23	23	181/2	181/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	402		ornamentTrill								21		
23	23	363/4	363/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	403										21		
23	23	91	91	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	404												
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	405		articStaccatissimoAbove										
23	23	88	88	0.0	0	0	Dynamic	4/4	2	1	0					p											
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	406												
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	407												
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	408												
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	409												
23	23	90	90	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	410												
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	411												
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	412												
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	413												
24	24	92	92	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	414										22		
24	24	185/2	185/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	415										22		
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	416												
24	24	94	94	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	417										23		
24	24	189/2	189/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	418										23		
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	419												
24	24	92	92	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	420												
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	421												
24	24	93	93	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	422												
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	423												
24	24	94	94	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	424												
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	425												
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	426												
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	427												
25	25	96	96	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	428										24		
25	25	385/4	385/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	429										24		
25	25	193/2	193/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	430										24		
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	431										24		
25	25	97	97	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	432										24		
25	25	389/4	389/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	433										24		
25	25	195/2	195/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	434										24		
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	435												
25	25	98	98	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	436										25		
25	25	393/4	393/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	437										25		
25	25	197/2	197/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	438										25		
25	25	395/4	395/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	439										25		
25	25	99	99	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	440										25		
25	25	397/4	397/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	441										25		
25	25	199/2	199/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	442										25		
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	443												
25	25	96	96	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	444												
25	25	193/2	193/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	445												
25	25	97	97	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	446												
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	447												
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	448												
26	26	100	100	0.0	0	0	StaffText	4/4	1	1	0							cresc.									
26	26	100	100	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	449										26		
26	26	401/4	401/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	450										26		
26	26	201/2	201/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	451										26		
26	26	403/4	403/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	452										26		
26	26	101	101	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	453										26		
26	26	405/4	405/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	454										26		
26	26	203/2	203/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	455										26		
26	26	407/4	407/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	456												
26	26	102	102	0.0	1/2	1/2	Dynamic	4/4	1	1	0					p											
26	26	102	102	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	457										27		
26	26	205/2	205/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	458										27		
26	26	103	103	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	459										27		
26	26	207/2	207/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	460												
27	27	104	104	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	461										28		
27	27	209/2	209/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	462										28		
27	27	419/4	419/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	463												
27	27	105	105	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	464												
27	27	106	106	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	465												
27	27	425/4	425/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	466										29		
27	27	213/2	213/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	467										29		
27	27	427/4	427/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	468										29		
27	27	107	107	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	469												
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	470		articStaccatissimoAbove										
27	27	104	104	0.0	0	0	Dynamic	4/4	2	1	0					p											
27	27	104	104	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	471												
27	27	209/2	209/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	472												
27	27	105	105	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	473												
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	474												
27	27	106	106	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	475												
27	27	213/2	213/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	476												
27	27	107	107	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	477												
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	478												
28	28	108	108	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	479												
28	28	217/2	217/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	480												
28	28	219/2	219/2	1.0	3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	481												
28	28	221/2	221/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	482												
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	483												
28	28	108	108	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	484												
28	28	217/2	217/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	485												
28	28	109	109	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	486												
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	487												
28	28	110	110	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	488												
28	28	221/2	221/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	489												
28	28	111	111	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	490												
28	28	223/2	223/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	491												
29	29	112	112	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	492												
29	29	225/2	225/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	493												
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	494												
29	29	114	114	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	495												
29	29	457/4	457/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	496										30		
29	29	229/2	229/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	497										30		
29	29	459/4	459/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	498												
29	29	115	115	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	499												
29	29	115	115	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	500										31		
29	29	231/2	231/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	501										31		
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	502												
29	29	112	112	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	503												
29	29	225/2	225/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	504												
29	29	113	113	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	505												
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	506												
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	507												
30	30	116	116	0.0	0	0	Dynamic	4/4	1	1	0					f											
30	30	116	116	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	508												
30	30	465/4	465/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	509												
30	30	233/2	233/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	510												
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	511												
30	30	117	117	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	512												
30	30	469/4	469/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	513												
30	30	235/2	235/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	514												
30	30	471/4	471/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	515												
30	30	118	118	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	516												
30	30	473/4	473/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	517												
30	30	237/2	237/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	518												
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	519												
30	30	119	119	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	520												
30	30	119	119	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	521										32		
30	30	239/2	239/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	522										32		
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	523												
30	30	116	116	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	524												
30	30	233/2	233/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	525												
30	30	117	117	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	526												
30	30	235/2	235/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	527												
30	30	118	118	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	528												
31	31	120	120	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	529												
31	31	481/4	481/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	530												
31	31	241/2	241/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	531												
31	31	483/4	483/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	532												
31	31	121	121	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	533												
31	31	485/4	485/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	534												
31	31	243/2	243/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	535												
31	31	487/4	487/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	536												
31	31	122	122	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	537												
31	31	489/4	489/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	538												
31	31	245/2	245/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	539												
31	31	491/4	491/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	540												
31	31	123	123	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	541												
31	31	123	123	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	542										33		
31	31	247/2	247/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	543										33		
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	544												
31	31	120	120	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	545												
31	31	241/2	241/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	546												
31	31	121	121	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	547												
31	31	243/2	243/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	548												
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	549												
32	32	124	124	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	550												
