mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	slur	Trill:trill	crescendo_line
63	63	250	2.0	1/2	1/2	Chord	2/2	1	1	1/2			1/2	1	728									
63	63	497/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	729							92		
63	63	249	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	730							92		
63	63	499/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	731									
63	63	250	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	732							93		
63	63	501/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	733									
63	63	251	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	734							94		
63	63	503/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	735									
63	63	248	4.0	0	0	Chord	2/2	2	2	1			1	1	736									
64	64	252	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	737									
64	64	1015/4	0.0	7/16	7/16	Dynamic	2/2	1	1	0						f								
64	64	1015/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	738							95		
64	64	254	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	739									
64	64	255	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	740									
64	64	252	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	741									
64	64	252	1.0	0	0	Chord	2/2	2	2	1/4			1/4	1	742									
65	65	256	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	743							96		
65	65	515/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24			1/16	2/3	744							96		
65	65	773/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24			1/16	2/3	745							96		
65	65	1547/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24			1/16	2/3	746							96		
65	65	258	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	747									
65	65	259	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	748							97		
65	65	256	0.0	0	0	Dynamic	2/2	2	1	0						f								
65	65	256	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	749							98		
65	65	513/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	750							98		
65	65	257	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	751							98		
65	65	515/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	752							98		
65	65	258	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	753							98		
65	65	517/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	754							98		
65	65	259	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	755							98		
65	65	519/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	756									
66	66	260	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	757									
66	66	1047/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	758							99		
66	66	262	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	759									
66	66	263	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	760									
66	66	260	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	761							100		
66	66	521/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	762							100		
66	66	261	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	763							100		
66	66	523/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	764							100		
66	66	262	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	765							100		
66	66	525/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	766							100		
66	66	263	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	767							100		
66	66	527/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	768									
67	67	264	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	769							101		
67	67	531/2	0.16666666666666666	3/8	3/8	Chord	2/2	1	1	1/24			1/16	2/3	770							101		
67	67	797/3	0.16666666666666666	5/12	5/12	Chord	2/2	1	1	1/24			1/16	2/3	771							101		
67	67	1595/6	0.16666666666666666	11/24	11/24	Chord	2/2	1	1	1/24			1/16	2/3	772							101		
67	67	266	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	773									
67	67	267	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	774							102		
67	67	264	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	775							103		
67	67	529/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	776							103		
67	67	265	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	777							103		
67	67	531/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8			1/8	1	778							103		
67	67	266	0.5	1/2	1/2	Chord	2/2	2	1	1/8			1/8	1	779							103		
67	67	533/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8			1/8	1	780							103		
67	67	267	0.5	3/4	3/4	Chord	2/2	2	1	1/8			1/8	1	781							103		
67	67	535/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8			1/8	1	782									
68	68	268	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	783									
68	68	539/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	784							104		
68	68	270	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	785									
68	68	541/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	786		articStaccatoAbove							
68	68	271	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	787		articStaccatoAbove							
68	68	543/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	788		articStaccatoAbove							
68	68	268	0.5	0	0	Chord	2/2	2	1	1/8			1/8	1	789							105		
68	68	537/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8			1/8	1	790							105		
68	68	269	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	791									
69	69	272	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	792							106		
69	69	1091/4	0.125	3/16	3/16	Chord	2/2	1	1	1/32			1/32	1	793							106		
69	69	2183/8	0.125	7/32	7/32	Chord	2/2	1	1	1/32			1/32	1	794							106		
69	69	273	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	795									
69	69	547/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	796		articStaccatoAbove							
69	69	274	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	797							107		
69	69	549/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	798									
69	69	275	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	799		articStaccatoAbove							
69	69	551/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	800		articStaccatoAbove							
69	69	272	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	801							108		
69	69	273	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	802									
70	70	276	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	803							109		
70	70	1107/4	0.125	3/16	3/16	Chord	2/2	1	1	1/32			1/32	1	804							109		
70	70	2215/8	0.125	7/32	7/32	Chord	2/2	1	1	1/32			1/32	1	805							109		
70	70	277	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	806									
70	70	555/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	807							110		
70	70	278	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	808									
70	70	557/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	809		articStaccatoAbove							
70	70	279	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	810		articStaccatoAbove							
70	70	559/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	811		articStaccatoAbove							
70	70	276	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	812							111		
70	70	277	0.5	1/4	1/4	Chord	2/2	2	1	1/8			1/8	1	813									
71	71	280	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	814							112		
71	71	1123/4	0.125	3/16	3/16	Chord	2/2	1	1	1/32			1/32	1	815							112		
71	71	2247/8	0.125	7/32	7/32	Chord	2/2	1	1	1/32			1/32	1	816							112		
71	71	281	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	817							112		
71	71	563/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	818									
71	71	282	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	819							113		
71	71	565/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	820							113		
71	71	283	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	821							113		
71	71	567/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	822									
71	71	280	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	823									
71	71	282	2.0	1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	824									
71	71	280	4.0	0	0	Chord	2/2	2	2	1			1	1	825									
72	72	284	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	826							114		
72	72	569/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	827									
72	72	285	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	828		articStaccatoAbove					115		
72	72	286	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	829		articStaccatoAbove					115		
72	72	287	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	830		articStaccatoAbove							
72	72	284	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	831									
72	72	285	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	832									
72	72	286	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	833									
72	72	287	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	834									
73	73	288	0.0	0	0	Dynamic	2/2	1	1	0						p								
73	73	288	0.0	0	0	Chord	2/2	1	1	0	grace16		1/32	1	835									
73	73	288	0.0	0	0	Chord	2/2	1	1	0	grace16		1/32	1	836									
73	73	288	0.0	0	0	Chord	2/2	1	1	0	grace16		1/32	1	837									
73	73	288	4.0	0	0	Chord	2/2	1	1	1			1	1	838									
73	73	289	0.0	1/4	1/4	Dynamic	2/2	2	1	0						p								
73	73	289	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	839									
73	73	290	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	840									
73	73	291	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	841									
74	74	292	4.0	0	0	Chord	2/2	1	1	1			1	1	842									
74	74	293	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	843									
74	74	294	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	844									
74	74	295	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	845									
75	75	296	4.0	0	0	Chord	2/2	1	1	1			1	1	846									
75	75	296	0.0	0	0	Dynamic	2/2	2	1	0						f								
75	75	297	0.0	1/4	1/4	Dynamic	2/2	2	1	0						f								
75	75	297	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	847									
75	75	298	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	848									
75	75	299	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	849									
76	76	300	2.0	0	0	Chord	2/2	1	1	1/2			1/2	1	850									
76	76	302	0.0	1/2	1/2	Dynamic	2/2	1	1	0						p								
76	76	302	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	851							116		
76	76	1211/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	852									
76	76	303	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	853							117		
76	76	1215/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	854									
76	76	300	1.0	0	0	Chord	2/2	1	2	1/4			1/4	1	855									
76	76	300	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	856									
76	76	301	0.0	1/4	1/4	Dynamic	2/2	2	1	0						p								
76	76	301	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	857							118		
76	76	302	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	858							118		
76	76	303	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	859									
77	77	304	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	860							119		
77	77	1219/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	861									
77	77	305	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	862							120		
77	77	1223/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	863									
77	77	306	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	864							121		
77	77	1227/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	865									
77	77	307	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	866							122		
77	77	1231/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	867									
77	77	304	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	868							123		
77	77	305	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	869							123		
77	77	306	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	870							123		
77	77	307	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	871									
78	78	308	2.0	0	0	Chord	2/2	1	1	1/2			1/2	1	872									
78	78	310	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	873							124		
78	78	1243/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	874									
78	78	311	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	875							125		
78	78	1247/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	876									
78	78	309	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	877							126		
78	78	310	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	878							126		
78	78	311	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	879							126		
79	79	312	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	880							127		
79	79	1251/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	881									
79	79	313	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	882							128		
79	79	1255/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	883									
79	79	314	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	884							129		
79	79	1259/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	885									
79	79	315	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	886							130		
79	79	1263/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	887									
79	79	312	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	888							126		
79	79	313	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	889							126		
79	79	314	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	890							126		
79	79	315	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	891									
80	80	316	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	892									
80	80	635/2	0.0	3/8	3/8	Dynamic	2/2	1	1	0						f								
80	80	635/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	893									
80	80	318	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	894							131		
80	80	1275/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	895							131		
80	80	319	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	896									
80	80	1279/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	897		articStaccatoAbove							
80	80	316	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	898									
80	80	317	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	899									
80	80	319	0.0	3/4	3/4	Dynamic	2/2	2	1	0						f								
80	80	319	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	900									
81	81	320	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	901							132		
81	81	1283/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	902							132		
81	81	321	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	903									
81	81	1287/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	904		articStaccatoAbove							
81	81	322	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	905							133		
81	81	1291/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	906							133		
81	81	323	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	907									
81	81	1295/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	908		articStaccatoAbove							
81	81	321	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	909									
81	81	323	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	910									
82	82	324	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	911									
82	82	651/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	912									
82	82	326	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	913							134		
82	82	1307/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	914							134		
82	82	327	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	915									
82	82	1311/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	916		articStaccatoAbove							
82	82	324	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	917									
82	82	325	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	918									
82	82	327	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	919									
83	83	328	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	920							135		
83	83	1315/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	921							135		
83	83	329	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	922									
83	83	1319/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	923		articStaccatoAbove							
83	83	330	0.75	1/2	1/2	Chord	2/2	1	1	3/16			1/8	3/2	924							136		
83	83	1323/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16			1/16	1	925							136		
83	83	331	0.75	3/4	3/4	Chord	2/2	1	1	3/16			1/8	3/2	926									
83	83	1327/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16			1/16	1	927		articStaccatoAbove							
83	83	329	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	928									
83	83	331	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	929									
84	84	332	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	930									
84	84	667/2	0.0	3/8	3/8	Dynamic	2/2	1	1	0						p								
84	84	667/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	931									
84	84	334	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	932							137		
84	84	669/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	933									
84	84	671/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	934									
84	84	332	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	935									
84	84	333	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	936									
84	84	335	0.0	3/4	3/4	Dynamic	2/2	2	1	0						p								
84	84	335	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	937									
85	85	336	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	938							138		
85	85	673/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	939									
85	85	675/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	940									
85	85	338	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	941							139		
85	85	677/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	942									
85	85	339	0.0	3/4	3/4	Spanner	2/2	1	1	0														0
85	85	339	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	943							140		0
85	85	679/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	944									0
85	85	337	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	945									
85	85	338	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	946									
85	85	339	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	947									
86	86	340	0.0	0	0	Spanner	2/2	1	1	0														
86	86	340	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	948							141		
86	86	681/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	949									
86	86	341	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	950							142		
86	86	683/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	951									
86	86	342	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	952							143		
86	86	685/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	953									
86	86	343	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	954							144		
86	86	687/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	955									
86	86	340	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	956									
86	86	341	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	957									
86	86	342	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	958									
86	86	343	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	959									
87	87	344	0.0	0	0	Dynamic	2/2	1	1	0						f								
87	87	344	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	960							145		
87	87	689/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	961									
87	87	695/2	0.0	7/8	7/8	Dynamic	2/2	1	1	0						p								
87	87	695/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	962									
87	87	344	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	963									
88	88	348	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	964							146		
88	88	1395/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	965									
88	88	349	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	966							147		
88	88	1399/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	967									
88	88	350	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	968							148		
88	88	351	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	969									
88	88	348	0.0	0	0	Dynamic	2/2	2	1	0						p								
88	88	348	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	970									
88	88	349	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	971									
88	88	350	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	972							149		
88	88	351	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	973									
88	88	350	2.0	1/2	1/2	Chord	2/2	2	2	1/2			1/2	1	974									
89	89	352	0.0	0	0	Dynamic	2/2	1	1	0						f								
89	89	352	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	975							150		
89	89	705/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	976									
89	89	711/2	0.0	7/8	7/8	Dynamic	2/2	1	1	0						p								
89	89	711/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	977									
89	89	352	0.0	0	0	Dynamic	2/2	2	1	0						f								
89	89	352	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	978									
90	90	356	0.75	0	0	Chord	2/2	1	1	3/16			1/8	3/2	979							151		
90	90	1427/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16			1/16	1	980									
90	90	357	0.75	1/4	1/4	Chord	2/2	1	1	3/16			1/8	3/2	981							152		
90	90	1431/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16			1/16	1	982									
90	90	358	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	983							153		
90	90	359	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	984									
90	90	356	0.0	0	0	Dynamic	2/2	2	1	0						p								
90	90	356	1.0	0	0	Chord	2/2	2	1	1/4			1/4	1	985									
90	90	357	1.0	1/4	1/4	Chord	2/2	2	1	1/4			1/4	1	986									
90	90	358	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	987							154		
90	90	359	1.0	3/4	3/4	Chord	2/2	2	1	1/4			1/4	1	988									
90	90	358	2.0	1/2	1/2	Chord	2/2	2	2	1/2			1/2	1	989									
91	91	360	0.0	0	0	Chord	2/2	1	1	0	grace16		1/16	1	990									
91	91	360	1.5	0	0	Chord	2/2	1	1	3/8			1/4	3/2	991							155		
91	91	723/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	992									
91	91	362	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	993									
91	91	363	1.0	3/4	3/4	Chord	2/2	1	1	1/4			1/4	1	994									
91	91	362	2.0	1/2	1/2	Chord	2/2	2	1	1/2			1/2	1	995									
92	92	364	1.0	0	0	Chord	2/2	1	1	1/4			1/4	1	996							156		
92	92	365	1.0	1/4	1/4	Chord	2/2	1	1	1/4			1/4	1	997									
92	92	366	1.0	1/2	1/2	Chord	2/2	1	1	1/4			1/4	1	998									
92	92	735/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	999									
92	92	364	2.0	0	0	Chord	2/2	2	1	1/2			1/2	1	1000							157		
92	92	366	1.0	1/2	1/2	Chord	2/2	2	1	1/4			1/4	1	1001									
93	93	368	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	1002							158		
93	93	737/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	1003									
93	93	369	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	1004							159		
93	93	739/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	1005									
93	93	370	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	1006							160		
93	93	741/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	1007									
93	93	743/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8			1/8	1	1008									
93	93	368	4.0	0	0	Chord	2/2	2	1	1			1	1	1009									
93	93	368	1.0	0	0	Chord	2/2	2	2	1/4			1/4	1	1010									
93	93	369	1.0	1/4	1/4	Chord	2/2	2	2	1/4			1/4	1	1011									
93	93	370	1.0	1/2	1/2	Chord	2/2	2	2	1/4			1/4	1	1012									
93	93	371	1.0	3/4	3/4	Chord	2/2	2	2	1/4			1/4	1	1013									
94	94	372	0.5	0	0	Chord	2/2	1	1	1/8			1/8	1	1014							161		
94	94	745/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8			1/8	1	1015									
94	94	373	0.5	1/4	1/4	Chord	2/2	1	1	1/8			1/8	1	1016							162		
94	94	747/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8			1/8	1	1017									
94	94	374	0.5	1/2	1/2	Chord	2/2	1	1	1/8			1/8	1	1018							163		
94	94	749/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8			1/8	1	1019									
94	94	375	0.5	3/4	3/4	Chord	2/2	1	1	1/8			1/8	1	1020							164		
