mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur	crescendo_line
21	21	123/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	293					59	
21	21	247/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	294					59	
21	21	62	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	295					59	
21	21	249/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	296					59	
21	21	125/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	297					59	
21	21	251/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	298						
22	22	63	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	299						
22	22	127/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	300					60	
22	22	509/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	301					60	
22	22	255/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	302					60	
22	22	511/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	303					60	
22	22	64	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	304						
22	22	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	305					61	
22	22	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	306					61	
22	22	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	307						
22	22	63	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	308						
22	22	129/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8			1/8	1	309					62	
22	22	65	0.5		1/2	1/2	Chord	3/4	1	2	1/8			1/8	1	310					62	
22	22	131/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	311						
22	22	63	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	312					63	
22	22	253/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	313					63	
22	22	127/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	314					63	
22	22	255/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	315					63	
22	22	64	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	316					63	
22	22	257/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	317					63	
22	22	129/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	318					63	
22	22	259/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	319					63	
22	22	65	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	320					63	
22	22	261/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	321					63	
22	22	131/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	322					63	
22	22	263/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	323						
23	23	66	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	324						
23	23	133/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	325					64	
23	23	533/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	326					64	
23	23	267/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	327					64	
23	23	535/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	328					64	
23	23	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	329						
23	23	135/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						p					
23	23	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	330					65	
23	23	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	331					65	
23	23	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	332						
23	23	66	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	333						
23	23	66	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	334					66	
23	23	265/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	335					66	
23	23	133/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	336					66	
23	23	267/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	337					66	
23	23	67	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	338						
23	23	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	339					67	
23	23	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	340					67	
23	23	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	341						
24	24	69	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	342						
24	24	139/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	343					68	
24	24	557/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	344					68	
24	24	279/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	345					68	
24	24	559/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	346					68	
24	24	70	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	347						
24	24	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	348					69	
24	24	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	349						
24	24	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	350						
24	24	69	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	351						
24	24	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	352					70	
24	24	71	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	353					70	
24	24	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	354						
24	24	141/2	0.5		3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	355						
24	24	71	1.0		1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	356						
25	25	72	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	357					71	
25	25	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	358						
25	25	147/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						f					
25	25	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	359		articStaccatoAbove			72	
25	25	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	360		articStaccatoAbove			72	
25	25	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	361		articStaccatoAbove				
25	25	72	0.75		0	0	Chord	3/4	1	2	3/16			1/8	3/2	362					73	
25	25	291/4	0.25		3/16	3/16	Chord	3/4	1	2	1/16			1/16	1	363					73	
25	25	72	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	364					74	
25	25	73	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	365						
25	25	293/4	0.0		5/16	5/16	Dynamic	3/4	2	1	0						sf					
25	25	293/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	366					75	
25	25	147/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	367					75	
25	25	295/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	368					75	
25	25	74	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	369					75	
25	25	297/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	370					75	
25	25	149/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	371					75	
25	25	299/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	372						
25	25	72	1.0		0	0	Chord	3/4	2	2	1/4			1/4	1	373					76	
25	25	73	0.25		1/4	1/4	Chord	3/4	2	2	1/16			1/16	1	374						
26	26	75	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	375						
26	26	151/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	376					77	
26	26	605/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	377					77	
26	26	303/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	378					77	
26	26	607/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	379					77	
26	26	76	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	380						
26	26	153/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	381					78	
26	26	77	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	382					78	
26	26	155/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	383						
26	26	75	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	384						
26	26	153/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8			1/8	1	385					79	
26	26	77	0.5		1/2	1/2	Chord	3/4	1	2	1/8			1/8	1	386					79	
26	26	155/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	387						
26	26	75	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	388					80	
26	26	301/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	389					80	
26	26	151/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	390					80	
26	26	303/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	391					80	
26	26	76	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	392					80	
26	26	305/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	393					80	
26	26	153/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	394					80	
26	26	307/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	395					80	
26	26	77	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	396					80	
26	26	309/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	397					80	
26	26	155/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	398					80	
26	26	311/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	399						
27	27	78	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	400						
27	27	157/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	401					81	
27	27	629/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	402					81	
27	27	315/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	403					81	
27	27	631/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	404					81	
27	27	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	405						
27	27	159/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						p					
27	27	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	406					82	
27	27	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	407					82	
27	27	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	408						
27	27	78	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	409						
27	27	78	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	410					83	
27	27	313/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	411					83	
27	27	157/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	412					83	
27	27	315/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	413					83	
27	27	79	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	414						
27	27	159/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	415					84	
27	27	80	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	416					84	
27	27	161/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	417						
28	28	81	0.125		0	0	Chord	3/4	1	1	1/32			1/32	1	418					85	
28	28	649/8	0.125		1/32	1/32	Chord	3/4	1	1	1/32			1/32	1	419					85	
28	28	325/4	0.125		1/16	1/16	Chord	3/4	1	1	1/32			1/32	1	420					85	
28	28	651/8	0.125		3/32	3/32	Chord	3/4	1	1	1/32			1/32	1	421					85	
28	28	163/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	422					85	
28	28	653/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	423					85	
28	28	327/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	424					85	
28	28	655/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	425						
28	28	82	1.0		1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	426					86	
28	28	83	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	427						
28	28	671/8	0.125		23/32	23/32	Chord	3/4	1	1	1/32			1/32	1	428						
28	28	81	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	429						
28	28	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	430						
28	28	83	0.5		1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	431					87	
28	28	167/2	0.5		5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	432						
29	29	84	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	433						
29	29	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	434					88	
29	29	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	435					88	
29	29	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	436						
29	29	84	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	437					89	
29	29	337/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	438					89	
29	29	169/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	439					89	
29	29	339/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	440					89	
29	29	85	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	441					89	
29	29	341/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	442					89	
29	29	171/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	443					89	
29	29	343/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	444					89	
29	29	86	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	445					89	
29	29	345/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	446					89	
29	29	173/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	447					89	
29	29	347/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	448						
30	30	87	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	449					90	
30	30	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	450						
30	30	177/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						f					
30	30	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	451					91	
30	30	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	452					91	
30	30	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	453						
30	30	87	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	454					92	
30	30	349/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	455					92	
30	30	175/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	456					92	
30	30	351/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	457						
30	30	88	0.0		1/4	1/4	Spanner	3/4	2	1	0											0
30	30	88	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	458					93	0
30	30	353/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	459					93	0
30	30	177/2	0.0		3/8	3/8	Spanner	3/4	2	1	0										93	
30	30	177/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	460					93	
30	30	355/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	461					93	
30	30	89	0.0		1/2	1/2	Dynamic	3/4	2	1	0						f				93	
30	30	89	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	462					93, 94	
30	30	357/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	463					94	
30	30	179/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	464					94	
30	30	359/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	465						
31	31	90	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	466					95	
31	31	91	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	467						
31	31	183/2	0.0		3/8	3/8	Dynamic	3/4	1	1	0						p					
31	31	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	468					96	
31	31	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	469					96	
31	31	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	470						
31	31	90	1.5		0	0	Chord	3/4	2	1	3/8			1/4	3/2	471						
31	31	183/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	472					97	
31	31	92	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	473					97	
31	31	185/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	474						
32	32	93	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	475					98	
32	32	94	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	476						
32	32	189/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	477					99	
32	32	95	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	478					99	
32	32	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	479						
32	32	93	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	480						
32	32	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	481						
33	33	96	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	482					100	
33	33	97	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	483						
33	33	195/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	484		articStaccatoAbove			101	
33	33	98	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	485		articStaccatoAbove			101	
33	33	197/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	486		articStaccatoAbove				
33	33	96	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	487						
33	33	98	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	488					102	
34	34	99	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	489					103	
34	34	100	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	490						
34	34	201/2	1.0		3/8	3/8	Chord	3/4	1	1	1/4			1/4	1	491					104	
34	34	203/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	492						
34	34	99	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	493						
34	34	101	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	494						
35	35	102	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	495					105	
35	35	103	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	496						
35	35	102	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	497					106	
35	35	103	0.5		1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	498						
35	35	207/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	499		articStaccatoBelow			107	
35	35	104	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	500		articStaccatoBelow			107	
35	35	209/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	501		articStaccatoBelow				
35	35	102	1.5		0	0	Chord	3/4	2	2	3/8			1/4	3/2	502						
36	36	211/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	503						
36	36	106	0.25		1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	504					108	
36	36	425/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	505					108	
36	36	213/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	506					108	
36	36	427/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	507					108	
36	36	107	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	508					108	
36	36	429/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	509					108	
36	36	215/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	510					108	
36	36	431/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	511						
36	36	105	3.0		0	0	Chord	3/4	2	1	3/4			1/2	3/2	512						
37	37	108	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	513						
37	37	109	2.0		1/4	1/4	Chord	3/4	1	1	1/2			1/2	1	514						
37	37	108	3.0		0	0	Chord	3/4	1	2	3/4			1/2	3/2	515						
37	37	108	1.5		0	0	Chord	3/4	2	1	3/8			1/4	3/2	516						
37	37	219/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	517		articStaccatoBelow			109	
37	37	110	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	518		articStaccatoBelow			109	
37	37	221/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	519		articStaccatoBelow				
38	38	223/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	520						
38	38	112	0.25		1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	521					110	
38	38	449/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	522					110	
38	38	225/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	523					110	
38	38	451/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	524					110	
38	38	113	0.25		1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	525					110	
38	38	453/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	526					110	
38	38	227/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	527					110	
38	38	455/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	528						
38	38	223/2	1.0		1/8	1/8	Chord	3/4	1	2	1/4			1/4	1	529						
38	38	225/2	1.0		3/8	3/8	Chord	3/4	1	2	1/4			1/4	1	530						
38	38	227/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	531						
38	38	111	3.0		0	0	Chord	3/4	2	1	3/4			1/2	3/2	532						
39	39	114	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	533						
39	39	115	2.0		1/4	1/4	Chord	3/4	1	1	1/2			1/2	1	534						
39	39	114	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	535						
39	39	114	1.5		0	0	Chord	3/4	2	1	3/8			1/4	3/2	536						
39	39	231/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	537		articStaccatoBelow			111	
39	39	116	0.5		1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	538		articStaccatoBelow			111	
39	39	233/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	539		articStaccatoBelow				
40	40	235/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	540		articStaccatoBelow			112	
40	40	118	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	541		articStaccatoBelow			112	
40	40	237/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	542		articStaccatoBelow			112	
40	40	119	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	543		articStaccatoBelow			112	
40	40	239/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	544		articStaccatoBelow				
40	40	117	2.0		0	0	Chord	3/4	2	1	1/2			1/2	1	545					113	
40	40	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	546						
41	41	120	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	547						
41	41	241/2	0.125		1/8	1/8	Chord	3/4	1	1	1/32			1/32	1	548					114	
41	41	965/8	0.125		5/32	5/32	Chord	3/4	1	1	1/32			1/32	1	549					114	
41	41	483/4	0.125		3/16	3/16	Chord	3/4	1	1	1/32			1/32	1	550					114	
41	41	967/8	0.125		7/32	7/32	Chord	3/4	1	1	1/32			1/32	1	551						
41	41	121	0.5		1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	552						
41	41	243/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	553					115	
41	41	122	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	554					115	
41	41	245/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	555						
41	41	120	1.0		0	0	Chord	3/4	1	2	1/4			1/4	1	556						
41	41	121	0.5		1/4	1/4	Chord	3/4	1	2	1/8			1/8	1	557						
41	41	120	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	558					116	
41	41	121	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	559						
41	41	122	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	560						
42	42	123	0.25		0	0	Chord	3/4	1	1	1/16			1/16	1	561					117	
42	42	493/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	562					117	
42	42	247/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	563					117	
42	42	495/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	564						
42	42	124	1.5		1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	565						
42	42	251/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	566					118	
42	42	503/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	567						
42	42	251/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	568						
42	42	123	1.0		0	0	Chord	3/4	2	1	1/4			1/4	1	569						
42	42	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	570					119	
42	42	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	571						
42	42	124	2.0		1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	572						
43	43	126	1.0		0	0	Chord	3/4	1	1	1/4			1/4	1	573						
43	43	255/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	574		articStaccatoAbove			120	
43	43	128	0.5		1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	575		articStaccatoAbove			120	
43	43	257/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	576		articStaccatoAbove				
43	43	126	0.25		0	0	Chord	3/4	2	1	1/16			1/16	1	577					121	
43	43	505/4	0.25		1/16	1/16	Chord	3/4	2	1	1/16			1/16	1	578					121	
43	43	253/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16			1/16	1	579					121	
43	43	507/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16			1/16	1	580					121	
43	43	127	0.25		1/4	1/4	Chord	3/4	2	1	1/16			1/16	1	581					121	
43	43	509/4	0.25		5/16	5/16	Chord	3/4	2	1	1/16			1/16	1	582					121	
43	43	255/2	0.25		3/8	3/8	Chord	3/4	2	1	1/16			1/16	1	583					121	
43	43	511/4	0.25		7/16	7/16	Chord	3/4	2	1	1/16			1/16	1	584					121	
43	43	128	0.25		1/2	1/2	Chord	3/4	2	1	1/16			1/16	1	585					121	
43	43	513/4	0.25		9/16	9/16	Chord	3/4	2	1	1/16			1/16	1	586					121	
43	43	257/2	0.25		5/8	5/8	Chord	3/4	2	1	1/16			1/16	1	587					121	
43	43	515/4	0.25		11/16	11/16	Chord	3/4	2	1	1/16			1/16	1	588						
44	44	129	0.5		0	0	Chord	3/4	1	1	1/8			1/8	1	589					122	
